question,response
Where is the added definition processed?,In the back office
What is the vehicle's brand?,Marque
What is the vehicle model?,Modèle
How many seats does the vehicle have?,Nombredeportes
What type of energy does the vehicle's motorization use?,Energie
What is the minimum coupling force of the vehicle?,CoupleMinimum
What is the width of the vehicle?,Largeur
What is the height of the vehicle?,Hauteur
What is the volume of the trunk?,Volumedecoffre
What is the top speed of the vehicle?,0 VitesseMaximale
What is the consumption for mixed driving?,Consommationmixte
What is the topic of this guide?,Vehicle
What type of interior equipment does the vehicle have?,Sellerie
Is there a adjustable steering wheel on the vehicle?,Yes
What kind of rearview mirrors are available on the vehicle?,Rétroviseurs
Does the vehicle have electric windows?,Yes
What is allowed to be uploaded for vehicle definitions?,Images
What formats are supported for uploaded images?,"png, jpg, jpeg"
How many images can be uploaded at most?,80
Who can upload images to vehicle definitions?,Concessionnaire (dealer)
What step is required after selecting a definition?,Selecting the images
What is the purpose of the 'Gestion de stock' feature?,Leconcessionnairetrouvelalistedesvoituresenstockenprécisant
What information does the 'Gestion de stock' feature provide about each vehicle?,"La désignation, Lecouleur, Laquantité totale, Laquantité restante, Datedestock, Prixunitaire, Lenombrededemandesencours"
What options does the concessionnaire have for managing stock?,"Changer la quantité restant du stock, Modifier le prix du stock, Supprimer le stock"
What is the unit price of a vehicle in the 'Gestion de stock' feature?,Prixunitaire
How many ongoing demands are there for a particular vehicle?,Lenombrededemandesencours
What is the purpose of the 'Ajouter Stock' button?,To add a vehicle
What information does the concessionaire need to specify when adding a vehicle?,"Lamarque, modèle, définition, couleur, quantité, and description du stock"
Where is the added stock stored after validation?,In the list of stocks awaiting treatment in backoffice
What action should be taken to add a vehicle,Clicking on the 'Ajouter Stock' button
How many stock items are being tracked?,96
What information is required to add an offer when clicking the 'Ajouter Offre' button?,"Lestock, Lamarque, Modèle, Finition, Datede début de promotion, Date fin de promotion, Montant de promotion, Quantité, Pack gratuit"
What happens after clicking the 'Valider' button to add an offer?,The offer is added to the list of required offers and waits for treatment in backoffice
How many numbers are listed in the guide?,1
What is the number that is mentioned at the end of the guide?,97
What is the purpose of adding an offer when clicking the 'Ajouter Offre' button?,"To specify Lestock, Lamarque, Modèle, Finition, Datede début de promotion, Date fin de promotion, Montant de promotion, Quantité, Pack gratuit"
What can a concessionnaire add or modify in the Gestion de contenu?,"Les marques, les modèles et les blogs"
"How can a concessionnaire view and manage the listed marks, models, and Blogs?",Il peut les visualiser et les supprimer avec les boutons d'action.
What is Gestion de contenu,DanslarubriqueGestiondecontenu
"In the Guide d'Utilisation, what can a concessionnaire view and manage?","Les marques, des modèles et des Blogs"
What is stored in the Guide d'Utilisation,Véhicule
What is the purpose of this guide?,store
What type of contents are stored in the guide?,véhicule
Is the guide related to a vehicle?,yes
What is the purpose of Gestion des marques?,To manage vehicle brands
What can you do with encliquantsurGestionmarque,"Modify or add a new brand, choosing the brand and downloading the logo"
How do you modify a brand?,By choosing the brand and downloading its logo
What is required to add a new brand,"The brand name, description, and logo"
What is available with Ajouterunenouvellemarque button?,"Adding a new brand, specifying the brand, description, and logo"
What can a concessionnaire do with the Gestion des modèles feature?,Modify models by choosing a marque and uploading images and videos
How does one add a model to the system?,"By clicking the 'Ajouter modèle' button and providing details such as marque, model, description, and image"
What information is required when adding a new model?,"Marque, model, description, and image"
Can a concessionnaire upload images and videos with the Gestion des modèles feature?,Yes
What is one of the key benefits of using the Gestion des modèles feature for concessionnaires?,The ability to modify models by choosing a marque and uploading images and videos
What types of content can be added to a blog on the guide?,"The guide allows adding titles, paragraphs, and images"
Can concessionnaire models be used with this guide?,"Yes, the guide permits adding concessionnaire models"
What kind of images can be added to a blog on this guide?,Interior and vitrine images can be added
Can specific details be added when creating a blog on this guide?,"Yes, the guide allows specifying details when adding blogs"
What is being referred to as 'Gestion des blogs' in the guide?,It refers to managing or governing blogs
What is the purpose of this guide?,This guide is for utilization
What type of item does the guide refer to?,Véhicule
Is there a specific topic covered in this guide?,"No, the topic is not specified"
What is the page number or section title for this content?,103
What type of document is this?,Guide
What type of document is this?,A guide
What does the guide relate to?,Véhicule (vehicle)
Is there a specific page number mentioned in the guide?,104
What is the main topic of the guide?,Utilisation (usage) of a vehicle
Is this a user manual or instruction guide for a vehicle?,Yes
What is the purpose of clicking the 'ModifierProfil' button?,To modify profile information
What will be displayed after clicking the 'ModifierProfil' button?,An interface to allow modification of profile photos and other information
How do you fill in the fields for modifying profile information?,By filling in the displayed fields
What happens when you click the 'Modifier' button after filling in the fields?,A confirmation message is displayed saying that the user's profile has been modified successfully
Is it possible to modify profile information through this process?,"Yes, with the help of the interface"
How do I access the dashboard?,You can access the dashboard by clicking on the section 'Tableau de bord' in the menu at left and choosing 'Statistique Global' or 'Statistique Détailles'
What kind of statistics are available for vehicle brands?,"The Marques section contains statistics such as Number of Vehicles per Brand, Number of Vehicles by Production State, Reclaimation per Motif (Demand for Information, Demand for Validation) and Contact/Stay Informed statistics"
What kind of information can I find in the Demande section?,The Demande section contains statistics about Total Demand of the current year
Where can I find financial data?,The Chiffre d'affaires section contains statistics about Total Financial Data for the current year
What information is available in the DASHBOARD section?,"The DASHBOARD section displays the number of partners already registered, the number of partnership requests, the number of blogs and the number of messages received"
What type of interface is displayed when you choose 'Statistique Détaillées'?,An interface with several sections
What information does the DASHBOARD section contain?,"Information about market place such as number of partners, number of partnership requests, number of blogs and number of received messages"
What statistics are contained in the 'Marques par partenaire' section?,"Number of vehicles per brand and per partner, Number of vehicles by production state per partner"
What type of statistics are contained in the 'Réclamation' and 'Contactez-Nous / Restez Informés' sections?,Statistics about claims and contacts
What information does the 'demande' section contain?,Total number of demands for the year
What is the topic of the content?,A guide
What type of content is it?,User manual
What is being guided?,Vehicle
Is the guide specific to a particular vehicle?,No indication either way
What is the content's purpose?,To provide information and instructions
What is the guide for?,Utilisation
What type of item is described in the text?,Véhicule
Is this a manual or instruction guide?,Store
What is the number mentioned in the text?,112
What type of content does the text describe?,Guide
What information can the administrator consult through the action visualization button?,The details of a financing request
What is contained in the Offre section?,"Information such as Reference, Concessionnaire, Marque, Modèle, Version, Couleur, Quantité, and Prix unitaire"
What type of request can be viewed by the administrator?,Financing request
How many pieces of information are listed for the Offre section?,"8 (Reference, Concessionnaire, Marque, Modèle, Version, Couleur, Quantité, and Prix unitaire)"
What type of information is included in the Offre section?,Details about a vehicle
What type of simulator is described in the guide?,It's not explicitly mentioned
What financing option is solicited?,Financement sollicité
What are the two types of insurance mentioned?,Assurance voiture et Assurance vie
How can you consult partners?,By clicking on the 'Partenaires' section found in the menu à gauche
What is needed to add a new partner?,A formulaire must be filled out
What is the website address mentioned in the guide?,www.site.com
What information can be found on the partner's interface?,"Adresse, Téléphone, Email de contact, Site"
How many icons are present on the partner's interface?,Two icons: one for modifying or visualizing partner information and another for adding a user
What is required to fill in the form on the add user interface?,"Nom, prénom, Email"
What happens after clicking the 'Enregistrer' button on the confirmation message?,A confirmation message will be displayed
What is the topic of the guide?,Store
What type of object is being referred to?,Véhicule
Is this a numerical value or a descriptive text?,Numerical value
What is the number mentioned in the guide?,117
What kind of entity is being referred to in the guide?,Vehicular
What is the purpose of the 'Guide d'Utilisation store'?,"An interface containing a list of partnership requests detailing: Nom, Numéro registre de commerce, Date, Adresse, Site Internet, Etat"
What information does the guide contain?,"Nom, Numéro registre de commerce, Date, Adresse, Site Internet, Etat"
Is the 'Guide d'Utilisation store' awaiting validation?,En attente de validation
What is one of the fields contained in the guide?,Nom
What is the status of the 'Guide d'Utilisation store'?,En attente de validation
What can an administrator do with the visualization button?,Consult information about partners and accept or refuse partnership requests
How can an administrator filter a list of partners?,"By specifying date, state (refused or pending), or other criteria"
What information is available for franchises in the validation interface?,"Name, registry number, date, address, website, and status"
What kind of information can be found about marques in the validation interface?,"Logo, ID, brand name, validation status, and modification options"
What actions can an administrator take regarding a marque?,"Modify, validate, or refuse it"
What can an administrator do when clicking the modification button?,modify the description and logo of a marque
What information is contained in the validation models interface?,"a list of added models by concessionnaires, specifying ID, marque, model label, and state of validation"
What are the details listed for each modèle in the validation models interface?,"ID, marque, model label, and state of validation"
What actions can an administrator take when modifying a modèle?,validation or modification
What is stored in the Guide d'Utilisation store?,vehicle information
What is the purpose of the interface?,To contain a list of available versions to validate or ignore
What information does the table of versions contain?,"ID, Marque, Modèle, Version, Etat, and Action"
What can be done with an ID in the interface?,Clicking on it displays an interface that contains a technical file to Approve or Refuse
Is there a filter option available in the interface?,"Yes, it exists and allows filtering by marque, modèle, or état de version"
What is the final step after validating or rejecting a version?,Clicking on the 'Enregistrer' button
What is this guide for?,It is a usage guide
What is mentioned in the title of the guide?,The guide's title mentions 'store' and 'véhicule'
What is the main subject of the guide?,The main subject is a vehicle
Is there any specific information about the vehicle provided in the guide?,"No, there is no specific information about the vehicle provided"
What is the number mentioned in the guide?,The number '122' is mentioned
What is the composition of an interface in the context of vehicle storage?,"A tableau containing information such as ID, Nom, Marque, Modèle, Couleur, Prix unitaires, Nouveau prix, Etat prix ,Etat, Partenaire, and Bouton visualiser"
What is the purpose of the icon in the 'offre' column?,To validate a vehicle by clicking on it
What happens when you click on the 'visualiser' button?,An interface is displayed with two buttons to either refuse or accept the vehicle
What occurs if a vehicle's price has been modified?,A new interface is displayed with buttons for validation or refusal of the new price
What filters are available for searching vehicles in the storage guide?,"Filters by marque, modèle, version, couleur, and prix"
What is the purpose of the interface in a store guide?,The interface composes a table containing information about an offer
What are the details included in the table on the interface?,"Désignation, Date de création, Datede début d’offre, Date fin d’offre, Promotion, Quantité offre et les boutons d’action"
How do you validate an offer in the store guide?,By clicking on the 'Valid' button
What happens when you refuse an offer in the store guide?,By clicking on the 'Refus' button
What is the purpose of the 'Quantité offre' detail included in the table?,To indicate the quantity of the offer
What is the topic of this document?,Guides d'utilisation
What type of guide is described?,Store vehicle guide
What is the purpose of the validation process?,Validation galerie
What is the quantity mentioned in this document?,126
What is being validated in the galerie?,Vehicle
What type of information can be found in the 'Guide d'Utilisation store',Véhicule
What sections does this guide contain,"Finitions, Stock, Offres, Partenaire, Franchise"
How many details are available for a single finition,127
What is the purpose of visualizing finition details,On peut visualiser les détails de cette finition
What type of information can be found in this guide,Les historiques des Finitions
What can be modified about a vehicle?,Les informations de la finition
Is there a specific guide for using the system?,"Oui, il y a un Guide d'Utilisation"
What is the purpose of the guide?,Pour utiliser le système
Can you find information about vehicles in this guide?,"Non, mais on peut en trouver dans la section véhicule"
What can be found under the vehicle section?,Les informations de la finition
What is the purpose of this guide?,It appears to be a usage guide.
What type of item is being described?,A vehicle
What is the 'Stock' referred to in the guide?,Inventory or quantity available
What kind of offer is being presented?,129
What is the context for this information?,Usage instructions
What is the purpose of the 'Gestion des produits' section?,To ensure the management of products
How many sub-sections does the 'Gestion des produits' section have?,"Two, namely 'Gestion marques' and 'Gestion modèles'"
What is required to add a new brand in the 'Gestion Marques' interface?,"Name of the brand, description, and logo download"
What happens when you click on the 'Enregistrer' button after adding a brand?,The brand is registered
What information can be found in the list of brands?,"Logo, ID, Marque, and Action (containing two icons for modification and deletion)"
What is the first step to add a mark?,Il suffit de cliquer sur le bouton ajouter marque
How do you add a model?,"Il suffit de sélectionner la marque et saisir le modèle, une description et télécharger l'image vitrine et l'image populaire (si cela est populaire) et 'Enregistrer' pour confirmer"
What is the purpose of the Gestion Modèles interface?,C'est une interface qui affiche la liste des modèles et un bouton 'Ajouter Modèle'
Can you undo adding a model?,"Oui, vous pouvez annuler en cliquant sur le bouton 'Annuler'"
What is the last step to add a model?,'Enregistrer' pour confirmer
What is being referred to in this text?,A guide
What type of guide is it?,An utilisateur guide
What is the subject of the guide?,Store véhicule information
Is there a specific module mentioned?,"Yes, Marketing"
What is the number associated with the marketing module?,133
What is the topic of the guide?,utilisation
What type of guide is it?,store
What does the guide refer to?,véhicule
Is there a specific number mentioned in the guide?,134
What is the primary subject matter of the guide?,utilisation store véhicule
What type of content is being discussed?,A guide
What is the purpose of the 'Guide d'Utilisation' store?,To provide guidance for users
What other category is mentioned alongside 'Gestion de contenu','Véhicule'
What type of content is not specifically mentioned as being handled by the guide?,Financement
What section is listed last in the guide?,FAQ
What is the topic of the provided text?,A guide or manual
What type of content is described in the menu?,Vehicular-related information
How many comments are there in the content?,136
What is the purpose of the MENU & Page section?,Navigation or switching between sections
What type of menu is described as 'Menu Horizontal'?,A type of menu layout
What is the main purpose of this interface?,It allows administrators to manage appointments
What type of information can be filtered in the calendar view?,"Date, state, and location of appointments"
How many time frames are available for viewing appointments?,"Five: day, week, workweek, month, agenda order"
What additional information can be displayed about each appointment?,None mentioned in the provided content
What is one of the main features of this interface besides calendar view?,Bannieres (banners)
What is the title of the guide?,Guide d'Utilisation
What is the topic covered by one section in the guide?,Véhicule
Where can you access the 'Clients et prospects' section?,La section 'Clients et prospects' qui se trouve dans le menu à gauche
What are the three subsections of the 'Clients et prospects' section?,"'Clients', ‘Prospects’ et ‘Gestion Des Comptes’"
Is there a numerical value mentioned in the guide?,138
What type of interface is provided for client management?,C'est une interface qui contient la liste des Comptes
What information can be found in the list of accounts?,"Nom, Email, Téléphone, Type et Date d'inscription"
Can client accounts be filtered by what criteria?,"filtrage par Email, date d’inscription, Particulier ou Entreprise"
What options are available for account activation and deactivation?,Activer/Désactiver
Can client accounts be locked or unlocked?,Verrouiller/Déverrouiller
What is the purpose of the 'Guide d'Utilisation store' interface?,C'est une interface qui contient un formulaire qui permet d’ajouter un utilisateur.
What information can be added when using the 'Guide d'Utilisation store' interface?,"Nom, Prénom, Email, Téléphone mobile, Adresse, Groupe, Gouvernorat, Agence"
What is the purpose of the 'Consulter Utilisateurs' interface?,C’est une interface qui contient la liste des utilisateurs.
What information can be filtered in the 'Consulter Utilisateurs' interface?,"Email, Groupe, Gouvernorat et agence"
What action can be taken on an individual user's account through the 'Consulter Utilisateurs' interface?,"Visualiser ou modifier les informations de l’utilisateur, Reset Mot de passe, Activer/Désactiver"
What is the guide for?,Utilisation
What type of content is it about?,Véhicule
What can an user do without logging in?,Access the Home page
What is available on the Page Home?,"Consulting the boutique, filtering and searching offers, accessing the simulator, and adding cars to the comparator"
How can an user access the Page Home?,By clicking on the logo at the top of the page or the 'Home' section in the horizontal menu bar
What are the sections on the Page Home,Several sections that will be detailed in subsequent paragraphs
What is available for users who want to become concessionnaires or advertisers?,Sending a partnership request
What is the composition of the top menu?,"Logo Tunis store, Neuf, Simulateur, Comparateur, Actualités, Concessionnaires, Panier, Loupe de recherche, Bouton connexion, Traduction"
How does the search function work?,The internet user can perform a search with at least three-letter keywords and will be redirected to the search results page.
What are the categories in the sticky menu?,"Simulateur, Financement, Comparateur"
Can you search for something on this website?,"Yes, an internet user can perform a search with at least three-letter keywords."
What is the purpose of the sticky menu?,"The sticky menu contains three sections: Simulateur, Financement, and Comparateur."
What is the purpose of the filtre?,to find rapidly the product that suits them
Where will clients be redirected after applying a filter?,to the page ‘neuf’ with corresponding cars
What does the main banner primarily display?,"products à la une, promotions and novelties"
What are some elements of the main banner,bouton ‘shop now’’ and horizontal list
What is the purpose of the main banner?,"to highlight products at the top, promotions and novelties"
What is the purpose of the secondary banner?,Cette bannière est statique.
How many groups are listed in the 'Produits neuves' section?,quatre
What happens when you click on the 'Afficher plus' link?,La page Neuf contenant toutes les offres.
What is the purpose of the icons in a procedure simple section?,To facilitate understanding of the financing steps
How many options are available in the procedure simple section?,"Three: Choisissez, Simuler, Financer"
What is displayed when clicking on a logo in the 'Toutes les marques' section?,The color of the logo changes
What type of content can be found in the Actualités/BLOG section?,Recent blogs with images and descriptions
What is the purpose of the 'Afficher plus' button in the 'Toutes les marques' section?,To redirect to a page showing all brands
What can the user do to access the blog in its entirety?,The user can click on the ‘Afficher plus’ button
How can the user access a list of all blogs?,The user can click on the ‘Afficher plus’ button
What is the purpose of the FAQ section?,It contains a list of frequent questions
How does the FAQ section work?,The user can click on the arrow button to view the answers to the questions
What information is contained in the Static Section,"Services, Livraison, and Moyen de paiements"
How can you sign up for the newsletter?,You can sign up for the newsletter by adding your email address and clicking on the button to complete the registration through the 'Inscrivez-vous pour recevoir des offres' section.
What is the purpose of the 'NewsLetter' widget?,The 'NewsLetter' widget allows users to sign up for the newsletter.
What is the purpose of the 'Réseaux sociaux' widget?,The 'Réseaux sociaux' widget permits redirection of users to the official marketplace page on social networks.
Where can you sign up for the newsletter?,You can sign up for the newsletter through the section 'Inscrivez-vous pour recevoir des offres'.
What happens when you click on the button to complete the registration?,"When you click on the button to complete the registration, your email address is added and you are signed up for the newsletter."
What is the requirement for the 'Libellé concessionnaire' field?,It must be alphabetic and contain at least 3 characters
How many characters should a 'Matricule fiscal' contain?,7 digits and 1 letter
What is the requirement for the 'Adresse' field?,It must contain letters and numbers
What is the minimum character requirement for the 'Nom responsable' and 'Prénom responsable' fields?,At least 3 characters
What is required in an 'Email' field?,It must contain the '@' symbol
Where can you access the 'Page neuf' from?,The menu in the top of each page
What does the 'Page neuf' contain?,"A secondary static banner, detailed filter, and product list"
What is one of the contents of the 'Page neuf'?,A secondary static banner
What is another content of the 'Page neuf'?,Detailed filter
What can you find in the 'Page neuf'?,Product list
Is this bannière static?,Yes
What type of page is being referred to?,Technique
What is the specific detail mentioned about the bannière?,It is static.
Is this referring to a technical specification?,Yes
"What kind of page is being referred to, according to the text?",Fiche Technique
Where can you access the PopUp Comparateur?,From the home or neuf page
What does the 'ajouter un produit' button do?,It redirects the user to the 'Choisir un produit à comparer' form
What happens when you click on the 'voir la comparaison' button?,It directs you to the comparator page
What does the 'tout supprimer' button do?,It allows you to remove all added products
Where is the PopUp Comparateur located on its main page?,"There is no mention of this, but it's likely a separate section or page"
Where can the user access the 'Comparator' page?,"The user can access the 'Comparator' page from the menu at the top of each page, PopUp Comparateur, or Sticky Menu."
How else can the user access the 'Comparator' page?,The user can also access the 'Comparator' page by clicking on the comparison icon in the product box displayed in Offre à la une.
What is the sticky menu?,Sticky Menu
Where is the comparison icon located?,The comparison icon is located in the product box displayed in Offre à la une.
What does the page 'Comparator' contain?,La page Comparateur contient
What is the first step to create a customer account?,Click on the 'Connexion' button
What can you do when you click on the 'Connexion' button?,A pop-up of connexion appears and allows you to: 
How many options are available for connecting via the pop-up?,"Three: via the formulaire de connexion, via a Google account, or via a Facebook account"
What is another option available in the pop-up?,To sign up
What happens when you click on the 'Connexion' button?,A pop-up of connexion appears
What information is required to connect?,"Adresse e-mail ou bien le numéro mobile, mot de passe"
What character must the email contain?,"""@"""
How many digits/letters are required in the password for it to be valid?,at least one
What happens after 5 unsuccessful attempts at logging in?,the button connection becomes blocked
What is checked during the first login attempt?,compatibility and correctness of the data
What is the first step to take after clicking on the 'inscription' button?,A pop-up appears that allows you to write a code which will be sent by SMS or email
Are there alternative methods for registration?,"Yes, through a Facebook account by clicking on 'Inscription avec Facebook' or through a Google account by clicking on 'Inscription avec Google'"
What is the purpose of the initial login after registration?,To change your password and have access to all functionalities of the personal account
How can you register for a new account initially?,By clicking on the 'inscription' button
What information do you need to provide when registering through the pop-up method?,You need to write a code which will be sent by SMS or email
What happens if an email is not unique when creating a new account?,The system will refuse the creation of the account and display an error message because there already exists another user who uses the same email.
How long can an inactive user stay logged in before their account is automatically disconnected?,More than 10 minutes
What are the required fields to change a password?,"The current password, the new password (which must contain at least 8 characters and include uppercase letters and special characters), and confirm the new password"
What happens if you forget your password and try to reset it?,"You will be taken through a process of entering your email address, which will then be verified; after verification, the system will send a link to complete the rest of the form and reset the password"
What is required for a new password?,The new password must contain at least 8 characters and include uppercase letters and special characters
What information is displayed for each concessionaire?,"Adresse, Téléphone Mobile, Fax"
How do you access the concessionnaire interface?,En accédant à ‘Concessionnaire’ depuis le menu en haut de chaque page
What types of information are requested in the contact form for a concessionaire?,"Nom, Prénom, Téléphone, Adresse e-mail, Objet"
Where is the concessionnaire interface located on each page?,Dans le menu en haut de chaque page
What information does the contact form contain for a concessionaire?,"Les formulaires suivants : Nom, Prénom, Téléphone, Adresse e-mail, Objet"
What is the way to access the blog?,"Pour consulter le blog il suffit de cliquer sur “Actualités” dans le menu , ou de visualiser la liste des blogs dans la section “Actualités / Blog” dans la page “Home”."
What can be found on the actualities page?,"Cette page contient tous les blogs et chaque blog composé de : • Une image, • Un titre, • Une description, • Une date de publication"
How to see more news and blogs,"En appuyant sur le bouton “afficher plus”, l’utilisateur sera redirigé vers la page contenant toutes les actualités."
What are the components of each blog?,"Une image, • Un titre, • Une description, • Une date de publication"
How to access news and blogs,"Il suffit de cliquer sur “Actualités” dans le menu , ou de visualiser la liste des blogs dans la section “Actualités / Blog” dans la page “Home”."
What is the purpose of the 'voir détails' button?,It allows you to view more details about the blog
What information is displayed when clicking on the 'voir détails' button?,"The blog with all its information, including an interior image in addition to the vitrine image and paragraphs"
Is there a 'Acheter' (Buy) button available,Yes
What happens when you click on the 'simuler' button?,It redirects you to the simulator page
Is there a separate button for simulating something?,"Yes, it's called 'PopUp simulateur'"
What is the website called?,Page simulateur
Is this a simulation page?,Yes
What does the page do?,simulate
What kind of simulator is it?,(not specified)
Is there any additional information provided about the simulator?,No
What is the purpose of the Espace Client?,"Le client doit être connecté après avoir créé un compte particulier afin d’accéder à ses informations personnelles, effectuer des demandes de financements, les consulter, suivre tout le processus de ses demandes de financements, gérer ses justificatifs, gérer ses devis et passer des rendez-vous."
What does the menu vertical contain?,"Le menu vertical contient les rubriques suivantes : Tableau de bord, Mon profil, Véhicule, Mes financements, Mes devis, Mes documents, Mobile, Médical, Immobilier, Electroménager et Mes Rendez-vous"
What can the client do after logging in?,"Le client peut accéder à ses informations personnelles, effectuer des demandes de financements, les consulter, suivre tout le processus de ses demandes de financements, gérer ses justificatifs, gérer ses devis et passer des rendez-vous."
What are the different categories in the menu vertical?,"Les catégories dans le menu vertical sont : Véhicule, Mobile, Médical, Immobilier et Electroménager"
How can a client get in touch with someone?,Le client peut contacter un chargé
What are the main categories when clicking on each store?,"Mes financements, Mes devis, and Mes documents"
What is one of the sub-sections within a store?,Mes financements
Are there any specific categories listed under each store?,Yes
How many main categories are mentioned in the text?,3
What is another sub-section mentioned in the text?,Mes devis
What is the purpose of the tableau de bord?,Le tableau de bord contient toutes les informations du compte de client et ses dernières modifications sous forme des box
What type of information does the Financement section display?,le nombre de financement en cours
How many types of notifications are displayed in the Notifications non lues section?,le nombre des notifications non lus
What can you navigate to by clicking on the Simulateur button?,l’espace de simulation
What type of information does the Ça peut vous intéresser section display?,les articles qui peuvent être intéressants pour le client
What is required to update personal information?,"To update personal information, you just need to click on “Mon profil”."
Where does clicking the 'Changer mot de passe' button redirect a client?,Clicking the 'Changer mot de passe' button redirects a client to a page containing input fields.
What type of characters must a new password contain?,"A new password must contain at least one digit, letter minuscule or majuscule and numbers."
What is the purpose of the 'Mot de passe actuel' field?,The 'Mot de passe actuel' field allows you to write your current password.
What information do you need to provide for a new password?,You need to provide your old password and the new password.
What is the purpose of writing a new password twice?,Permet d'écrire le même nouveau mot de passe pour la confirmation.
What happens when you click on the 'Enregistrer les changements' button?,Un popUp de confirmation s’affiche.
Do I need to be logged in with a client account to add a financing request,"Oui, il faut se connecter avec un compte client."
What are the steps required to submit a first-time financing request?,Il doit passer par l’étape relation Client.
What types of identifiers can I choose from when adding a financing request?,"Matricule fiscal, CIN, Registre de commerce, Identifiant Unique, Identifiant client"
What are the steps to follow to choose a product?,The client must follow the steps by choosing the product according to the offers on the front page and click on 'Financer'.
What is required of the client at the beginning?,The client must choose the product according to the offers on the front page and click on 'Financer'.
What action does the client need to take first?,Clicking on 'Financer'.
How can the client proceed with selecting a product?,By choosing the product according to the offers on the front page and clicking on 'Financer'.
What is the next step after product selection?,Clicking on 'Financer'.
